n,cig,strutturaProponente:codiceFiscaleProp,strutturaProponente:denominazione,importoAggiudicazione,importoSommeLiquidate,oggetto,sceltaContraente,tempiCompletamento:dataInizio,tempiCompletamento:dataUltimazione,lottoID,ocid
14,8089966323,IT-CF-00355870221,Comune di Trento,0.0,0.0,Incarico di progettazione delle strutture - opera 646019 - 2^ lotto BLM Group Arena di trento,23-AFFIDAMENTO DIRETTO,,,idm289,ocds-xxxxxx-8089966323
15,ZEF29D75B9,IT-CF-00355870221,Comune di Trento,0.0,0.0,Noleggio condizionatori per manifestazione,23-AFFIDAMENTO DIRETTO,2019-09-20T09:30:00Z,2019-09-22T09:30:00Z,idm301,ocds-xxxxxx-ZEF29D75B9
16,Z2A2826A7B,IT-CF-00355870221,Comune di Trento,0.0,0.0,Opere manutentive ordinarie per lavori da pittore presso istituti di istruzione primaria della citta anno 2019,08-AFFIDAMENTO IN ECONOMIA - COTTIMO FIDUCIARIO,,,idm321,ocds-xxxxxx-Z2A2826A7B
17,7835951F50,IT-CF-00355870221,Comune di Trento,0.0,0.0,INTERVENTO 19/2019 - LAVORI SQUADRE 5 E 6 CON OPZIONE SQUADRA 7,08-AFFIDAMENTO IN ECONOMIA - COTTIMO FIDUCIARIO,,,idm342,ocds-xxxxxx-7835951F50
18,7915321984,IT-CF-00355870221,Comune di Trento,0.0,0.0,FORNITURA STRUTTURE GIOCO IN ACCIAIO E LEGNO,04-PROCEDURA NEGOZIATA SENZA PREVIA PUBBLICAZIONE,,,idm390,ocds-xxxxxx-7915321984
19,8089279C32,IT-CF-00355870221,Comune di Trento,0.0,0.0,"SERVIZIO DI GESTIONE E MANUTENZIONE GRONDAIE, PLUVIALI, POZZETTI E RETI DI ACQUE METEORICHE, IMPIANTI DI SOLLEVAMENTO E SISTEMI DI ANCORAGGIO PERMANENTE IN COPERTURA",04-PROCEDURA NEGOZIATA SENZA PREVIA PUBBLICAZIONE,,,idm411,ocds-xxxxxx-8089279C32
20,79922147A1,IT-CF-00355870221,Comune di Trento,0.0,0.0,"Gestione e manutenzione grondaie, pluviali, pozzetti e reti acque meteoriche, impianto di sollevamento e sistemi di ancoraggio permanenti in copertura",01-PROCEDURA APERTA,,,idm462,ocds-xxxxxx-79922147A1
21,81267072C5,IT-CF-00355870221,Comune di Trento,0.0,0.0,MANUTENZIONE STRAORDINARIA PRESSO UNA SEDE ASSOCIATIVA SITA IN VIALE DEGLI OLMI N. 24 A TRENTO,33-PROCEDURA NEGOZIATA PER AFFIDAMENTI SOTTO SOGLIA,,,idm474,ocds-xxxxxx-81267072C5
22,775803442F,IT-CF-00355870221,Comune di Trento,0.0,0.0,Servizio di comunicazione e promozione delle opportunita per ragazzi e giovani,04-PROCEDURA NEGOZIATA SENZA PREVIA PUBBLICAZIONE,,,idm486,ocds-xxxxxx-775803442F
23,IDM498,IT-CF-00355870221,Comune di Trento,1.28,1.28,Spedizione di piego libro,23-AFFIDAMENTO DIRETTO,2019-06-03T09:30:00Z,2019-06-03T09:30:00Z,idm498,ocds-xxxxxx-IDM498
24,IDM518,IT-CF-00355870221,Comune di Trento,1.72,1.72,PEDAGGI AUTOSTRADALI,23-AFFIDAMENTO DIRETTO,2019-01-01T09:30:00Z,2019-12-31T09:30:00Z,idm518,ocds-xxxxxx-IDM518
25,IDM538,IT-CF-00355870221,Comune di Trento,4.13,4.13,CANONE TELEPASS,23-AFFIDAMENTO DIRETTO,2019-01-01T09:30:00Z,2019-12-31T09:30:00Z,idm538,ocds-xxxxxx-IDM538
26,IDM558,IT-CF-00355870221,Comune di Trento,4.13,4.13,CANONE LOCAZIONE,23-AFFIDAMENTO DIRETTO,2020-01-01T09:30:00Z,2020-12-31T09:30:00Z,idm558,ocds-xxxxxx-IDM558
27,IDM578,IT-CF-00355870221,Comune di Trento,4.13,4.13,CANONE TELEPASS,23-AFFIDAMENTO DIRETTO,2019-01-01T09:30:00Z,2019-12-31T09:30:00Z,idm578,ocds-xxxxxx-IDM578
28,IDM598,IT-CF-00355870221,Comune di Trento,4.13,4.13,CANONE TELEPASS,23-AFFIDAMENTO DIRETTO,2019-01-01T09:30:00Z,2019-12-31T09:30:00Z,idm598,ocds-xxxxxx-IDM598
29,IDM618,IT-CF-00355870221,Comune di Trento,4.13,4.13,CANONE TELEPASS,23-AFFIDAMENTO DIRETTO,2019-01-01T09:30:00Z,2019-12-31T09:30:00Z,idm618,ocds-xxxxxx-IDM618
30,IDM638,IT-CF-00355870221,Comune di Trento,4.13,4.13,CANONE TELEPASS,23-AFFIDAMENTO DIRETTO,2019-01-01T09:30:00Z,2019-12-31T09:30:00Z,idm638,ocds-xxxxxx-IDM638
31,IDM658,IT-CF-00355870221,Comune di Trento,4.13,4.13,CANONE TELEPASS,23-AFFIDAMENTO DIRETTO,2019-01-01T09:30:00Z,2019-12-31T09:30:00Z,idm658,ocds-xxxxxx-IDM658
32,IDM678,IT-CF-00355870221,Comune di Trento,4.13,4.13,CANONE TELEPASS,23-AFFIDAMENTO DIRETTO,2019-01-01T09:30:00Z,2019-12-24T09:30:00Z,idm678,ocds-xxxxxx-IDM678
33,IDM695,IT-CF-00355870221,Comune di Trento,4.37,0.0,fornitura marche da bollo,23-AFFIDAMENTO DIRETTO,2019-10-10T09:30:00Z,,idm695,ocds-xxxxxx-IDM695
34,IDM714,IT-CF-00355870221,Comune di Trento,5.4,5.4,Notifica atti giudiziari,23-AFFIDAMENTO DIRETTO,2019-02-20T09:30:00Z,2019-02-20T09:30:00Z,idm714,ocds-xxxxxx-IDM714
35,IDM734,IT-CF-00355870221,Comune di Trento,5.73,5.73,Spedizione di piego libro,23-AFFIDAMENTO DIRETTO,2019-02-04T09:30:00Z,2019-02-04T09:30:00Z,idm734,ocds-xxxxxx-IDM734
36,PAT0145655,IT-CF-00355870221,Comune di Trento,5.73,5.73,Spedizione di piego libro,23-AFFIDAMENTO DIRETTO,2018-12-12T09:30:00Z,2018-12-12T09:30:00Z,idm754,ocds-xxxxxx-PAT0145655
37,IDM774,IT-CF-00355870221,Comune di Trento,5.73,5.73,Spedizione di piego libro,23-AFFIDAMENTO DIRETTO,2019-02-22T09:30:00Z,2019-02-22T09:30:00Z,idm774,ocds-xxxxxx-IDM774
38,IDM794,IT-CF-00355870221,Comune di Trento,5.73,5.73,Spedizione di piego libro,23-AFFIDAMENTO DIRETTO,2018-12-19T09:30:00Z,2018-12-19T09:30:00Z,idm794,ocds-xxxxxx-IDM794
39,IDM814,IT-CF-00355870221,Comune di Trento,5.73,5.73,Spedizione di piego libro,23-AFFIDAMENTO DIRETTO,2019-01-25T09:30:00Z,2019-01-25T09:30:00Z,idm814,ocds-xxxxxx-IDM814
40,IDM834,IT-CF-00355870221,Comune di Trento,5.73,5.73,Spedizione di piego libro,23-AFFIDAMENTO DIRETTO,2019-01-29T09:30:00Z,2019-01-29T09:30:00Z,idm834,ocds-xxxxxx-IDM834
41,IDM854,IT-CF-00355870221,Comune di Trento,5.73,5.73,Spedizione di piego libro,23-AFFIDAMENTO DIRETTO,2019-02-13T09:30:00Z,2019-02-13T09:30:00Z,idm854,ocds-xxxxxx-IDM854
42,IDM874,IT-CF-00355870221,Comune di Trento,5.73,5.73,Spedizione di piego libro,23-AFFIDAMENTO DIRETTO,2019-02-04T09:30:00Z,2019-02-04T09:30:00Z,idm874,ocds-xxxxxx-IDM874
43,IDM894,IT-CF-00355870221,Comune di Trento,5.73,5.73,Spedizione di piego libro,23-AFFIDAMENTO DIRETTO,2019-02-04T09:30:00Z,2019-02-04T09:30:00Z,idm894,ocds-xxxxxx-IDM894
44,IDM914,IT-CF-00355870221,Comune di Trento,5.73,5.73,Spedizione di piego libro,23-AFFIDAMENTO DIRETTO,2019-02-13T09:30:00Z,2019-02-13T09:30:00Z,idm914,ocds-xxxxxx-IDM914
45,IDM934,IT-CF-00355870221,Comune di Trento,5.73,5.73,Spedizione di piego libro,23-AFFIDAMENTO DIRETTO,2019-02-13T09:30:00Z,2019-02-13T09:30:00Z,idm934,ocds-xxxxxx-IDM934
46,IDM954,IT-CF-00355870221,Comune di Trento,5.73,5.73,Spedizione di piego libro,23-AFFIDAMENTO DIRETTO,2019-02-13T09:30:00Z,2019-02-13T09:30:00Z,idm954,ocds-xxxxxx-IDM954
47,IDM974,IT-CF-00355870221,Comune di Trento,5.73,5.73,Spedizione di piego libro,23-AFFIDAMENTO DIRETTO,2018-12-28T09:30:00Z,2018-12-28T09:30:00Z,idm974,ocds-xxxxxx-IDM974
48,IDM994,IT-CF-00355870221,Comune di Trento,5.73,5.73,Spedizione di piego libro,23-AFFIDAMENTO DIRETTO,2019-08-22T09:30:00Z,2019-08-22T09:30:00Z,idm994,ocds-xxxxxx-IDM994
49,IDM1014,IT-CF-00355870221,Comune di Trento,5.73,5.73,Spedizione di piego libro,23-AFFIDAMENTO DIRETTO,2019-05-15T09:30:00Z,2019-05-15T09:30:00Z,idm1014,ocds-xxxxxx-IDM1014
50,IDM1034,IT-CF-00355870221,Comune di Trento,5.73,5.73,Spedizione di piego libro,23-AFFIDAMENTO DIRETTO,2019-05-29T09:30:00Z,2019-05-29T09:30:00Z,idm1034,ocds-xxxxxx-IDM1034
51,IDM1054,IT-CF-00355870221,Comune di Trento,5.73,5.73,Spedizione di piego libro,23-AFFIDAMENTO DIRETTO,2019-08-22T09:30:00Z,2019-08-22T09:30:00Z,idm1054,ocds-xxxxxx-IDM1054
52,IDM1074,IT-CF-00355870221,Comune di Trento,5.73,5.73,Spedizione di piego libro,23-AFFIDAMENTO DIRETTO,2020-01-08T09:30:00Z,2020-01-08T09:30:00Z,idm1074,ocds-xxxxxx-IDM1074
53,IDM1094,IT-CF-00355870221,Comune di Trento,5.73,5.73,Spedizione di piego libro,23-AFFIDAMENTO DIRETTO,2020-01-08T09:30:00Z,2020-01-08T09:30:00Z,idm1094,ocds-xxxxxx-IDM1094
54,IDM1114,IT-CF-00355870221,Comune di Trento,5.73,5.73,Spedizione di piego libro,23-AFFIDAMENTO DIRETTO,2020-01-20T09:30:00Z,2020-01-20T09:30:00Z,idm1114,ocds-xxxxxx-IDM1114
55,IDM1134,IT-CF-00355870221,Comune di Trento,5.73,5.73,Spedizione di piego libro,23-AFFIDAMENTO DIRETTO,2020-01-27T09:30:00Z,2020-01-27T09:30:00Z,idm1134,ocds-xxxxxx-IDM1134
56,IDM1154,IT-CF-00355870221,Comune di Trento,5.73,5.73,Spedizione di piego libro,23-AFFIDAMENTO DIRETTO,2020-01-27T09:30:00Z,2020-01-27T09:30:00Z,idm1154,ocds-xxxxxx-IDM1154
57,IDM1174,IT-CF-00355870221,Comune di Trento,5.73,5.73,Spedizione di piego libro,23-AFFIDAMENTO DIRETTO,2020-01-27T09:30:00Z,2020-01-27T09:30:00Z,idm1174,ocds-xxxxxx-IDM1174
58,IDM1194,IT-CF-00355870221,Comune di Trento,5.73,5.73,Spedizione di piego libro,23-AFFIDAMENTO DIRETTO,2020-01-27T09:30:00Z,2020-01-27T09:30:00Z,idm1194,ocds-xxxxxx-IDM1194
59,IDM1214,IT-CF-00355870221,Comune di Trento,5.73,5.73,Spedizione di piego libro,23-AFFIDAMENTO DIRETTO,2020-01-29T09:30:00Z,2020-01-29T09:30:00Z,idm1214,ocds-xxxxxx-IDM1214
60,IDM1234,IT-CF-00355870221,Comune di Trento,5.73,5.73,Spedizione di piego libro,23-AFFIDAMENTO DIRETTO,2020-01-29T09:30:00Z,2020-01-29T09:30:00Z,idm1234,ocds-xxxxxx-IDM1234
61,IDM1254,IT-CF-00355870221,Comune di Trento,5.73,5.73,Spedizione di piego libro,23-AFFIDAMENTO DIRETTO,2020-01-29T09:30:00Z,2020-01-29T09:30:00Z,idm1254,ocds-xxxxxx-IDM1254
62,IDM1274,IT-CF-00355870221,Comune di Trento,5.73,5.73,Spedizione di piego libro,23-AFFIDAMENTO DIRETTO,2020-02-24T09:30:00Z,2020-02-24T09:30:00Z,idm1274,ocds-xxxxxx-IDM1274
63,IDM1294,IT-CF-00355870221,Comune di Trento,5.73,5.73,Spedizione di piego libro,23-AFFIDAMENTO DIRETTO,2020-02-27T09:30:00Z,2020-02-27T09:30:00Z,idm1294,ocds-xxxxxx-IDM1294
64,IDM1314,IT-CF-00355870221,Comune di Trento,5.73,5.73,Spedizione di piego libro,23-AFFIDAMENTO DIRETTO,2019-02-22T09:30:00Z,2019-02-22T09:30:00Z,idm1314,ocds-xxxxxx-IDM1314
65,IDM1334,IT-CF-00355870221,Comune di Trento,5.73,5.73,Spedizione di piego libro,23-AFFIDAMENTO DIRETTO,2019-02-22T09:30:00Z,2019-02-22T09:30:00Z,idm1334,ocds-xxxxxx-IDM1334
66,IDM1354,IT-CF-00355870221,Comune di Trento,5.73,5.73,Spedizione di piego libro,23-AFFIDAMENTO DIRETTO,2019-03-21T09:30:00Z,2019-03-21T09:30:00Z,idm1354,ocds-xxxxxx-IDM1354
67,IDM1374,IT-CF-00355870221,Comune di Trento,5.73,5.73,Spedizione di piego libro,23-AFFIDAMENTO DIRETTO,2019-03-29T09:30:00Z,2019-03-29T09:30:00Z,idm1374,ocds-xxxxxx-IDM1374
68,IDM1394,IT-CF-00355870221,Comune di Trento,5.73,5.73,Spedizione di piego libro,23-AFFIDAMENTO DIRETTO,2019-05-13T09:30:00Z,2019-05-13T09:30:00Z,idm1394,ocds-xxxxxx-IDM1394
69,IDM1414,IT-CF-00355870221,Comune di Trento,5.73,5.73,Spedizione di piego libro,23-AFFIDAMENTO DIRETTO,2019-05-15T09:30:00Z,2019-05-15T09:30:00Z,idm1414,ocds-xxxxxx-IDM1414
70,IDM1434,IT-CF-00355870221,Comune di Trento,5.73,5.73,Spedizione di piego libro,23-AFFIDAMENTO DIRETTO,2019-05-13T09:30:00Z,2019-05-13T09:30:00Z,idm1434,ocds-xxxxxx-IDM1434
71,IDM1454,IT-CF-00355870221,Comune di Trento,5.73,5.73,Spedizione di piego libro,23-AFFIDAMENTO DIRETTO,2019-05-13T09:30:00Z,2019-05-13T09:30:00Z,idm1454,ocds-xxxxxx-IDM1454
72,IDM1474,IT-CF-00355870221,Comune di Trento,5.73,5.73,Spedizione di piego libro,23-AFFIDAMENTO DIRETTO,2019-05-13T09:30:00Z,2019-05-13T09:30:00Z,idm1474,ocds-xxxxxx-IDM1474
73,IDM1494,IT-CF-00355870221,Comune di Trento,5.73,5.73,Spedizione di piego libro,23-AFFIDAMENTO DIRETTO,2019-10-15T09:30:00Z,2019-10-15T09:30:00Z,idm1494,ocds-xxxxxx-IDM1494
74,IDM1514,IT-CF-00355870221,Comune di Trento,5.73,5.73,Spedizione di piego libro,23-AFFIDAMENTO DIRETTO,2019-10-15T09:30:00Z,2019-10-15T09:30:00Z,idm1514,ocds-xxxxxx-IDM1514
75,IDM1534,IT-CF-00355870221,Comune di Trento,5.73,5.73,Spedizione di piego libro,23-AFFIDAMENTO DIRETTO,2019-10-29T09:30:00Z,2019-10-29T09:30:00Z,idm1534,ocds-xxxxxx-IDM1534
76,IDM1554,IT-CF-00355870221,Comune di Trento,5.73,5.73,Spedizione di piego libro,23-AFFIDAMENTO DIRETTO,2020-01-14T09:30:00Z,2020-01-14T09:30:00Z,idm1554,ocds-xxxxxx-IDM1554
77,IDM1574,IT-CF-00355870221,Comune di Trento,5.73,5.73,Spedizione di piego libro,23-AFFIDAMENTO DIRETTO,2020-01-14T09:30:00Z,2020-01-14T09:30:00Z,idm1574,ocds-xxxxxx-IDM1574
78,IDM1594,IT-CF-00355870221,Comune di Trento,5.73,5.73,Spedizione di piego libro,23-AFFIDAMENTO DIRETTO,2020-01-14T09:30:00Z,2020-01-14T09:30:00Z,idm1594,ocds-xxxxxx-IDM1594
79,IDM1614,IT-CF-00355870221,Comune di Trento,5.73,5.73,Spedizione di piego libro,23-AFFIDAMENTO DIRETTO,2019-05-13T09:30:00Z,2019-05-13T09:30:00Z,idm1614,ocds-xxxxxx-IDM1614
80,IDM1634,IT-CF-00355870221,Comune di Trento,5.73,5.73,Spedizione di piego libro,23-AFFIDAMENTO DIRETTO,2019-10-08T09:30:00Z,2019-10-08T09:30:00Z,idm1634,ocds-xxxxxx-IDM1634
81,IDM1654,IT-CF-00355870221,Comune di Trento,5.73,5.73,Spedizione di piego libro,23-AFFIDAMENTO DIRETTO,2019-03-19T09:30:00Z,2019-03-19T09:30:00Z,idm1654,ocds-xxxxxx-IDM1654
82,IDM1674,IT-CF-00355870221,Comune di Trento,5.73,5.73,Spedizione di piego libro,23-AFFIDAMENTO DIRETTO,2019-03-20T09:30:00Z,2019-03-20T09:30:00Z,idm1674,ocds-xxxxxx-IDM1674
83,IDM1694,IT-CF-00355870221,Comune di Trento,5.73,5.73,Spedizione di piego libro,23-AFFIDAMENTO DIRETTO,2019-03-27T09:30:00Z,2019-03-27T09:30:00Z,idm1694,ocds-xxxxxx-IDM1694
84,IDM1714,IT-CF-00355870221,Comune di Trento,5.73,5.73,Spedizione di piego libro,23-AFFIDAMENTO DIRETTO,2019-03-29T09:30:00Z,2019-03-29T09:30:00Z,idm1714,ocds-xxxxxx-IDM1714
85,IDM1734,IT-CF-00355870221,Comune di Trento,5.73,5.73,Spedizione di piego libro,23-AFFIDAMENTO DIRETTO,2019-05-03T09:30:00Z,2019-05-03T09:30:00Z,idm1734,ocds-xxxxxx-IDM1734
86,IDM1754,IT-CF-00355870221,Comune di Trento,5.73,5.73,Spedizione di piego libro,23-AFFIDAMENTO DIRETTO,2019-10-08T09:30:00Z,2019-10-08T09:30:00Z,idm1754,ocds-xxxxxx-IDM1754
87,PAT0156407,IT-CF-00355870221,Comune di Trento,5.73,5.73,Spedizione di piego libro,23-AFFIDAMENTO DIRETTO,2019-10-08T09:30:00Z,2019-10-08T09:30:00Z,idm1774,ocds-xxxxxx-PAT0156407
88,IDM1794,IT-CF-00355870221,Comune di Trento,5.73,5.73,Spedizione di piego libro,23-AFFIDAMENTO DIRETTO,2019-07-19T09:30:00Z,2019-07-19T09:30:00Z,idm1794,ocds-xxxxxx-IDM1794
89,IDM1814,IT-CF-00355870221,Comune di Trento,5.73,5.73,Spedizione di piego libro,23-AFFIDAMENTO DIRETTO,2019-06-10T09:30:00Z,2019-06-10T09:30:00Z,idm1814,ocds-xxxxxx-IDM1814
90,IDM1834,IT-CF-00355870221,Comune di Trento,5.73,5.73,Spedizione di piego libro,23-AFFIDAMENTO DIRETTO,2019-06-14T09:30:00Z,2019-06-14T09:30:00Z,idm1834,ocds-xxxxxx-IDM1834
91,IDM1854,IT-CF-00355870221,Comune di Trento,5.73,5.73,Spedizione di piego libro,23-AFFIDAMENTO DIRETTO,2019-06-27T09:30:00Z,2019-06-27T09:30:00Z,idm1854,ocds-xxxxxx-IDM1854
92,IDM1874,IT-CF-00355870221,Comune di Trento,5.73,5.73,Spedizione di piego libro,23-AFFIDAMENTO DIRETTO,2019-06-27T09:30:00Z,2019-06-27T09:30:00Z,idm1874,ocds-xxxxxx-IDM1874
93,IDM1894,IT-CF-00355870221,Comune di Trento,5.73,5.73,Spedizione di piego libro,23-AFFIDAMENTO DIRETTO,2019-07-19T09:30:00Z,2019-07-19T09:30:00Z,idm1894,ocds-xxxxxx-IDM1894
94,IDM1914,IT-CF-00355870221,Comune di Trento,5.73,5.73,Spedizione di piego libro,23-AFFIDAMENTO DIRETTO,2019-10-08T09:30:00Z,2019-10-08T09:30:00Z,idm1914,ocds-xxxxxx-IDM1914
95,IDM1934,IT-CF-00355870221,Comune di Trento,5.73,5.73,Spedizione di piego libro,23-AFFIDAMENTO DIRETTO,2019-03-13T09:30:00Z,2019-03-13T09:30:00Z,idm1934,ocds-xxxxxx-IDM1934
96,IDM1954,IT-CF-00355870221,Comune di Trento,5.73,5.73,Spedizione di piego libro,23-AFFIDAMENTO DIRETTO,2019-03-13T09:30:00Z,2019-03-13T09:30:00Z,idm1954,ocds-xxxxxx-IDM1954
97,IDM1974,IT-CF-00355870221,Comune di Trento,5.73,5.73,Spedizione di piego libro,23-AFFIDAMENTO DIRETTO,2019-08-22T09:30:00Z,2019-08-22T09:30:00Z,idm1974,ocds-xxxxxx-IDM1974
98,IDM1994,IT-CF-00355870221,Comune di Trento,5.73,5.73,Spedizione di piego libro,23-AFFIDAMENTO DIRETTO,2019-03-01T09:30:00Z,2019-03-01T09:30:00Z,idm1994,ocds-xxxxxx-IDM1994
99,IDM2014,IT-CF-00355870221,Comune di Trento,5.73,5.73,Spedizione di piego libro,23-AFFIDAMENTO DIRETTO,2019-06-27T09:30:00Z,2019-06-27T09:30:00Z,idm2014,ocds-xxxxxx-IDM2014
100,IDM2034,IT-CF-00355870221,Comune di Trento,5.73,5.73,Spedizione di piego libro,23-AFFIDAMENTO DIRETTO,2019-07-17T09:30:00Z,2019-07-17T09:30:00Z,idm2034,ocds-xxxxxx-IDM2034
101,IDM2054,IT-CF-00355870221,Comune di Trento,5.73,5.73,Spedizione di piego libro,23-AFFIDAMENTO DIRETTO,2019-07-17T09:30:00Z,2019-07-17T09:30:00Z,idm2054,ocds-xxxxxx-IDM2054
102,IDM2074,IT-CF-00355870221,Comune di Trento,5.73,5.73,Spedizione di piego libro,23-AFFIDAMENTO DIRETTO,2019-07-19T09:30:00Z,2019-07-19T09:30:00Z,idm2074,ocds-xxxxxx-IDM2074
103,IDM2094,IT-CF-00355870221,Comune di Trento,5.73,5.73,Spedizione di piego libro,23-AFFIDAMENTO DIRETTO,2019-04-08T09:30:00Z,2019-04-08T09:30:00Z,idm2094,ocds-xxxxxx-IDM2094
104,IDM2114,IT-CF-00355870221,Comune di Trento,5.73,5.73,Spedizione di piego libro,23-AFFIDAMENTO DIRETTO,2019-04-08T09:30:00Z,2019-04-08T09:30:00Z,idm2114,ocds-xxxxxx-IDM2114
105,IDM2134,IT-CF-00355870221,Comune di Trento,5.73,5.73,Spedizione di piego libro,23-AFFIDAMENTO DIRETTO,2019-04-18T09:30:00Z,2019-04-18T09:30:00Z,idm2134,ocds-xxxxxx-IDM2134
106,IDM2154,IT-CF-00355870221,Comune di Trento,5.73,5.73,Spedizione di piego libro,23-AFFIDAMENTO DIRETTO,2019-04-18T09:30:00Z,2019-04-18T09:30:00Z,idm2154,ocds-xxxxxx-IDM2154
107,IDM2174,IT-CF-00355870221,Comune di Trento,5.73,5.73,Spedizione di piego libro,23-AFFIDAMENTO DIRETTO,2019-05-03T09:30:00Z,2019-05-03T09:30:00Z,idm2174,ocds-xxxxxx-IDM2174
108,PAT0155645,IT-CF-00355870221,Comune di Trento,5.73,5.73,Spedizione di piego libro,23-AFFIDAMENTO DIRETTO,2019-09-09T09:30:00Z,2019-09-09T09:30:00Z,idm2194,ocds-xxxxxx-PAT0155645
109,IDM2214,IT-CF-00355870221,Comune di Trento,5.73,5.73,Spedizione di piego libro,23-AFFIDAMENTO DIRETTO,2019-09-16T09:30:00Z,2019-09-16T09:30:00Z,idm2214,ocds-xxxxxx-IDM2214
110,IDM2234,IT-CF-00355870221,Comune di Trento,5.73,5.73,Spedizione di piego libro,23-AFFIDAMENTO DIRETTO,2019-09-18T09:30:00Z,2019-09-18T09:30:00Z,idm2234,ocds-xxxxxx-IDM2234
111,IDM2254,IT-CF-00355870221,Comune di Trento,5.73,5.73,Spedizione di piego libro,23-AFFIDAMENTO DIRETTO,2019-09-18T09:30:00Z,2019-09-18T09:30:00Z,idm2254,ocds-xxxxxx-IDM2254
